temperature,dewpoint,wind_dir,wind_speed,pressure,precip_01h,precip_03h,precip_06h,precip_12h,precip_24h,snow_dept,date
32090,28946,29082,34866,13417,5895,3,3448,4,559,617,1992-01-01
32460,29508,29564,35858,13377,5990,8,3459,7,676,603,1992-01-02
33435,30331,31111,37199,13691,6009,9,3538,11,823,592,1992-01-03
32843,29707,30114,35852,13529,5999,12,3573,4,850,546,1992-01-04
32268,29139,31321,35621,13345,5941,1,3503,5,870,595,1992-01-05
33072,29868,30505,36325,13208,5959,2,3340,5,735,539,1992-01-06
33776,30555,32236,37156,13573,5942,7,3527,6,813,755,1992-01-07
33720,30548,31563,36883,13628,5954,11,3551,4,884,760,1992-01-08
32883,30203,30765,36359,13615,5966,20,3441,8,857,652,1992-01-09
32642,29386,30728,35347,13237,5939,40,3551,10,895,699,1992-01-10
32250,28883,29833,33957,13093,5929,23,3344,3,788,712,1992-01-11
32450,29044,30200,34941,13255,5933,5,3285,5,751,699,1992-01-12
33189,29600,32139,37549,13400,5963,3,3227,8,1002,800,1992-01-13
32607,29290,32048,36707,13244,5981,3,3431,4,1103,889,1992-01-14
33588,30080,32325,36280,13493,5966,8,3466,5,997,980,1992-01-15
32873,29455,31832,35048,13017,5975,44,3593,13,856,1011,1992-01-16
33745,30408,31821,36390,13449,5965,41,3645,9,774,919,1992-01-17
32648,29652,30401,34622,13235,5926,32,3538,10,712,896,1992-01-18
31894,28767,29712,33474,13172,5883,1,3542,5,726,875,1992-01-19
32694,29448,29186,34320,13325,5922,18,3650,5,662,855,1992-01-20
32441,29406,27822,34111,13037,5919,13,3622,6,655,763,1992-01-21
33001,29772,29969,35498,13183,5931,7,3566,7,681,676,1992-01-22
33266,29978,33323,37338,13698,5953,2,3653,8,970,774,1992-01-23
32352,29084,31637,35393,13111,5986,31,3596,9,1050,838,1992-01-24
32528,29166,30127,34220,12900,5961,22,3172,9,837,800,1992-01-25
32395,29053,29026,33849,13138,5904,55,3476,12,837,858,1992-01-26
33158,29809,29854,35291,13082,5964,19,3615,10,789,738,1992-01-27
33042,29792,30833,36133,13303,6015,25,3539,8,843,716,1992-01-28
33288,29980,31459,36407,13462,5977,43,3660,11,756,684,1992-01-29
32766,29457,29966,35552,12946,5968,9,3683,6,734,679,1992-01-30
32552,29211,30254,34922,12913,5987,14,3674,4,771,692,1992-01-31
31420,28082,28130,32555,12872,5989,25,3505,8,720,695,1992-02-01
31470,28142,27786,32641,12627,5923,16,3528,6,608,639,1992-02-02
32845,29515,29018,34865,13065,5978,36,3593,11,584,581,1992-02-03
31531,28524,28585,33777,12704,5920,7,3514,7,627,605,1992-02-04
32560,29581,30542,34794,13252,5978,6,3656,11,802,666,1992-02-05
32902,29714,30069,34820,13171,5985,9,3626,6,726,623,1992-02-06
33505,30254,30918,35933,13378,6002,2,3605,5,724,612,1992-02-07
32772,29490,30239,35445,13411,5963,1,3324,8,634,712,1992-02-08
31904,28580,28928,33469,12927,5967,10,3379,4,767,800,1992-02-09
33836,30410,32278,35766,13314,6005,9,3481,4,818,730,1992-02-10
33241,29985,32442,36415,13051,6009,4,3300,1,768,652,1992-02-11
32632,29390,30979,35489,12584,5955,3,3315,6,902,736,1992-02-12
34224,30889,33112,38694,13758,5979,3,3443,7,876,743,1992-02-13
33686,30291,32065,38017,13565,6011,5,3378,3,1024,758,1992-02-14
33310,29801,31937,36775,13620,5955,2,3440,5,955,722,1992-02-15
32397,28994,31443,35634,13009,5984,4,3410,5,922,663,1992-02-16
32970,29495,31847,35952,13350,5934,5,3536,6,953,674,1992-02-17
33459,30073,32829,37100,13465,5970,6,3532,6,1006,673,1992-02-18
33920,30430,33630,37780,13641,6007,8,3582,6,1024,716,1992-02-19
32695,29499,30837,34850,12826,5966,9,3210,5,892,549,1992-02-20
34081,30798,31034,36029,13418,5961,5,3715,5,891,699,1992-02-21
33534,30253,30716,35951,13319,5913,7,3655,5,921,637,1992-02-22
32592,29427,30523,35604,13351,5929,9,3534,6,1005,629,1992-02-23
33002,29661,31626,36616,13403,5937,5,3610,11,920,559,1992-02-24
33751,30381,33109,37495,13707,5946,4,3527,7,874,555,1992-02-25
32958,29681,32380,35816,13137,5934,5,3720,6,934,616,1992-02-26
33448,30233,31511,35301,13165,5940,14,3728,7,767,609,1992-02-27
33071,29650,30466,34608,13142,5936,13,3795,2,667,587,1992-02-28
31419,28209,28948,32674,12689,5895,11,2931,6,619,464,1992-02-29
