temperature,dewpoint,wind_dir,wind_speed,pressure,precip_01h,precip_03h,precip_06h,precip_12h,precip_24h,date
46064,45247,0,0,0,19262,1388,3157,8,2187,2014-04-07
46023,45149,0,0,0,18869,1462,3533,12,2460,2014-04-08
46141,45254,0,0,0,17781,574,2464,11,2127,2014-04-09
46185,45427,0,0,0,17580,378,2006,11,1835,2014-04-10
46256,45490,0,0,0,17813,586,2255,12,1902,2014-04-11
46052,45258,0,0,0,18145,578,2316,11,1982,2014-04-12
45921,45172,0,0,0,18546,1006,2672,9,2030,2014-04-13
46080,45219,0,0,0,18966,1388,3240,9,2270,2014-04-14
46396,45539,0,0,0,19345,1571,3396,12,2318,2014-04-15
46253,45441,0,0,0,18834,898,2787,10,2103,2014-04-16
46436,45712,0,0,0,18316,705,2422,14,1904,2014-04-17
46331,45581,0,0,0,18289,838,2669,12,2055,2014-04-18
46153,45339,0,0,0,18840,937,2688,11,2074,2014-04-19
46137,45408,0,0,0,18254,783,2611,15,2082,2014-04-20
46256,45535,0,0,0,18098,740,2518,13,2008,2014-04-21
46492,45699,0,0,0,18154,999,2806,12,2185,2014-04-22
46469,45664,0,0,0,18769,929,2842,10,2158,2014-04-23
46506,45654,0,0,0,19823,1072,2856,9,2116,2014-04-24
46484,45685,0,0,0,18672,1030,2936,10,2223,2014-04-25
46330,45464,0,0,0,18313,1026,2906,9,2223,2014-04-26
46039,45103,0,0,0,19227,1346,3170,8,2195,2014-04-27
46210,45249,0,0,0,19723,1360,3339,9,2360,2014-04-28
46352,45461,0,0,0,19637,1686,3572,14,2332,2014-04-29
46305,45476,0,0,0,19536,1709,3706,14,2405,2014-04-30
46421,45332,0,0,0,18793,1241,3277,14,2260,2014-05-01
46497,45418,0,0,0,18138,794,2678,15,2089,2014-05-02
46370,45231,0,0,0,18329,800,2611,12,1985,2014-05-03
46287,45112,0,0,0,18451,879,2701,16,2097,2014-05-04
46442,45255,0,0,0,18072,654,2481,13,1974,2014-05-05
45775,44825,0,0,0,18031,539,2365,12,1965,2014-05-06
46311,45429,0,0,0,17907,698,2415,14,1963,2014-05-07
46352,45508,0,0,0,18535,1124,2987,15,2124,2014-05-08
46440,45530,0,0,0,18939,1318,3292,14,2283,2014-05-09
46200,45202,0,0,0,18720,1206,3214,11,2321,2014-05-10
44768,43801,0,0,0,18272,908,2961,12,2323,2014-05-11
46290,45426,0,0,0,18669,1232,3070,10,2232,2014-05-12
46276,45380,0,0,0,18573,1153,3159,16,2286,2014-05-13
46418,45530,0,0,0,18408,1147,2979,17,2157,2014-05-14
46556,45646,0,0,0,18547,1314,3187,14,2122,2014-05-15
46573,45655,0,0,0,18712,1170,3103,14,2291,2014-05-16
46314,45366,0,0,0,18105,845,2788,16,2228,2014-05-17
46110,45192,0,0,0,18049,613,2403,12,2037,2014-05-18
46334,45246,0,0,0,18427,683,2464,14,2044,2014-05-19
46422,45204,0,0,0,18398,730,2601,13,2107,2014-05-20
46428,45326,0,0,0,17858,664,2472,16,2073,2014-05-21
46364,45332,0,0,0,18026,771,2576,13,2057,2014-05-22
46454,45360,0,0,0,18231,786,2616,16,1916,2014-05-23
46272,45251,0,0,0,17982,785,2686,16,2135,2014-05-24
46071,45123,0,0,0,18290,765,2640,12,2146,2014-05-25
46114,45082,0,0,0,18855,939,2800,10,2162,2014-05-26
46328,45325,0,0,0,18950,1112,2978,14,2253,2014-05-27
46358,45389,0,0,0,18811,1315,3371,14,2418,2014-05-28
46057,45001,0,0,0,18815,1010,2914,15,2163,2014-05-29
46460,45469,0,0,0,18340,995,2918,15,2126,2014-05-30
46296,45299,0,0,0,18468,1087,3096,13,2292,2014-05-31
46123,45111,0,0,0,18657,953,2945,18,2267,2014-06-01
46261,45279,0,0,0,18739,1105,3151,16,2346,2014-06-02
46213,45194,0,0,0,17980,771,2677,16,2201,2014-06-03
46198,45193,0,0,0,18278,879,2724,16,2159,2014-06-04
46217,45101,0,0,0,18472,936,2781,17,2216,2014-06-05
46310,45126,0,0,0,18213,709,2571,16,2145,2014-06-06
46115,44924,0,0,0,18492,865,2690,15,2145,2014-06-07
45792,44704,0,0,0,18556,1055,2932,12,2253,2014-06-08
46199,45133,0,0,0,18515,1154,3092,14,2331,2014-06-09
46250,45248,0,0,0,18470,1179,3096,18,2339,2014-06-10
46141,45045,0,0,0,18472,1262,3256,14,2325,2014-06-11
45378,44343,0,0,0,18816,1260,3329,12,2366,2014-06-12
46028,44932,0,0,0,18857,1307,3311,12,2349,2014-06-13
46115,44905,0,0,0,18996,959,2991,15,2287,2014-06-14
45939,44663,0,0,0,19274,824,2707,18,2158,2014-06-15
46182,45020,0,0,0,18255,673,2488,17,2102,2014-06-16
46195,45082,0,0,0,18711,916,2848,14,2221,2014-06-17
46173,45047,0,0,0,18856,991,2894,15,2240,2014-06-18
46088,44859,0,0,0,19068,1119,3029,18,2323,2014-06-19
46228,45124,0,0,0,18791,952,2854,16,2291,2014-06-20
46025,44976,0,0,0,18506,826,2757,14,2217,2014-06-21
