temperature,dewpoint,wind_dir,wind_speed,pressure,precip_01h,precip_03h,precip_06h,precip_12h,precip_24h,date
45393,44635,0,0,0,18385,1128,3288,13,2078,2013-01-01
45801,45043,0,0,0,18456,868,3053,15,1979,2013-01-02
45268,44541,0,0,0,17918,671,2759,15,1874,2013-01-03
45374,44626,0,0,0,17908,558,2662,15,1926,2013-01-04
45822,45085,0,0,0,17821,497,2537,18,1836,2013-01-05
45690,44922,0,0,0,18051,997,3198,18,2047,2013-01-06
46020,45251,0,0,0,17768,569,2757,19,2010,2013-01-07
45940,45164,0,0,0,17973,560,2515,20,1912,2013-01-08
45976,45158,0,0,0,18921,951,2992,15,1983,2013-01-09
45970,45165,0,0,0,18811,1078,3210,13,2153,2013-01-10
45897,45042,0,0,0,19151,1506,3730,15,2311,2013-01-11
45804,44945,0,0,0,18171,978,3241,14,2275,2013-01-12
45692,44820,0,0,0,18400,1122,3374,15,2113,2013-01-13
45935,45072,0,0,0,18336,1052,3255,15,2153,2013-01-14
46014,45192,0,0,0,18705,990,3140,13,2106,2013-01-15
46104,45329,0,0,0,18652,1174,3244,13,2144,2013-01-16
46001,45178,0,0,0,18703,906,3079,12,2088,2013-01-17
45825,44970,0,0,0,18069,509,2686,17,1987,2013-01-18
45822,44948,0,0,0,17787,312,2283,17,1825,2013-01-19
45757,45034,0,0,0,17783,479,2493,21,1856,2013-01-20
45917,45239,0,0,0,17746,590,2616,22,1821,2013-01-21
46059,45341,0,0,0,17705,560,2700,17,1868,2013-01-22
45859,45153,0,0,0,17691,483,2349,15,1682,2013-01-23
46084,45318,0,0,0,17882,842,2965,17,1569,2013-01-24
46084,45270,0,0,0,18174,1009,3024,21,1997,2013-01-25
45890,44873,0,0,0,18205,1095,3428,18,2199,2013-01-26
45769,44632,0,0,0,18347,852,2969,16,2081,2013-01-27
45924,44770,0,0,0,18654,1312,3487,12,2255,2013-01-28
45943,44936,0,0,0,18663,1249,3500,15,2314,2013-01-29
